abstract,Repetition,ZH_EN,EN_ZH,model,BLEU,CHRF,TER,Semantic Similarity
"<正>元素观：物质是由元素组成的；元素可以分为不同的类别，不同元素具有不同的性质，同类元素具有相似的性质；物质的性质与元素组成有关，可以按照元素组成来分类物质；化学反应前后元素的种类不变……分类观：选择分类的对象及分类的视角(特征),元素的分类，物质的分类，变化的分类，化学反应的分类，化学反应条件的分类，物质性质的分类，物质结构的分类，实验探究中影响变量的分类，实验原理、实验仪器、实验操作的分类……微粒观：物质是由微观粒子构成的；",2,"Element perspective: Matter is composed of elements; elements can be divided into different categories, different elements have different properties, elements of the same category have similar properties; the properties of matter are related to the elemental composition, matter can be classified according to elemental composition; the types of elements remain unchanged before and after chemical reactions... Classification perspective: Selecting the objects of classification and the perspective (characteristics) of classification, classification of elements, classification of matter, classification of changes, classification of chemical reactions, classification of conditions for chemical reactions, classification of properties of matter, classification of structures of matter, classification of influencing variables in experimental investigations, classification of experimental principles, experimental instruments, and experimental operations... Particulate perspective: Matter is composed of microscopic particles;",元素觀點：物質由元素組成；元素可以分成不同類別，不同元素具有不同的性質，同類別的元素具有相似的性質；物質的性質與元素組成有關，物質可以根據元素組成進行分類；元素種類在化學反應前後保持不變…… 分類觀點：選擇分類的對象和分類的視角（特徵），元素的分類，物質的分類，變化的分類，化學反應的分類，化學反應條件的分類，物質性質的分類，物質結構的分類，實驗探究中影響變量的分類，實驗原理的分類，實驗儀器，和實驗操作…… 微粒觀點：物質由微觀粒子構成；,Gemini-2FTE,0.2123292888921015,0.5194805194805194,0.041666666666666664,0.0
<正>公共场所是人们经常集聚的、供大众使用的综合性社会场所。公共场所主要为公众提供包括住宿、休闲、娱乐、公共交通等生活需求，近年来，伴随着经济社会的快速发展，公共场所类型和数量显著增加。同时，伴随着人们环保意识的增强，人们对于室内空气质量关注度持续提高。旅游酒店作为重要的公共场所，一般人员流动性较高，室内空气质量也会对住客和从业人员健康产生重要的影响。旅游酒店通常空间较为封闭狭小，易受装修材料、装饰装潢中的化学物质的影响，甲醛、氨等污染物可能在空气中累积，进而会对人体健康造成危害。因此，开展旅游酒店公共场所室内空气化学污染物的健康风险评估与治理至关重要。,1,,无,Gemini-2FTE,0.0,0.0,0.04347826086956521,0.0
<正>化学工程领域的涉及面较广，全过程复杂，涉及到的计算环节众多。化学工程领域的计算多与曲线拟合非线性方程，偏微分，线性或非线性规划的求解等有关，这些计算难度极大，仅靠手工，难以实现精准快捷的计算；而配合计算机辅助编程，开展计量计算，能够实践应用化学计算剂量的提质增效，具有极高的应用价值和现实意义。,1,"The field of chemical engineering encompasses a wide range of areas, with complex processes and numerous calculation steps involved. Calculations in chemical engineering often relate to curve fitting of nonlinear equations, partial differentials, and solving linear or nonlinear programming problems, which are extremely challenging. Achieving precise and efficient calculations manually is difficult; however, by utilizing computer-aided programming for computational tasks, the quality and efficiency of chemical dosage calculations can be significantly improved, offering high application value and practical significance.",化学工程领域涵盖广泛，涉及复杂工艺与众多计算步骤。其计算常关联非线性方程的曲线拟合、偏微分以及线性或非线性规划问题的求解，极具挑战性。人工实现精确高效计算颇为困难；然而，借助计算机辅助编程进行运算，可大幅提升化工计算的质量与效率，具有较高的应用价值和现实意义。,DeepSeek-V3,0.27698248493773725,0.7,0.08695652173913046,0.0
<正>化学工程领域的涉及面较广，全过程复杂，涉及到的计算环节众多。化学工程领域的计算多与曲线拟合非线性方程，偏微分，线性或非线性规划的求解等有关，这些计算难度极大，仅靠手工，难以实现精准快捷的计算；而配合计算机辅助编程，开展计量计算，能够实践应用化学计算剂量的提质增效，具有极高的应用价值和现实意义。,2,"The field of chemical engineering encompasses a wide range of areas, with complex processes and numerous calculation steps involved. Calculations in chemical engineering often relate to curve fitting of nonlinear equations, partial differentials, and solving linear or nonlinear programming problems. These calculations are extremely challenging and difficult to achieve accurately and quickly by manual methods alone. However, by utilizing computer-assisted programming for computational calculations, it is possible to enhance the quality and efficiency of chemical dosage calculations, offering significant practical value and real-world significance.",化学工程领域涵盖广泛，涉及复杂过程与众多计算步骤。化工计算常关联非线性方程的曲线拟合、偏微分以及线性或非线性规划问题的求解，这些计算极为复杂，仅凭手工方法难以准确且迅速地完成。然而，借助计算机辅助编程进行计算，可提升化工配比计算的质效，具有重要的实用价值与现实意义。,DeepSeek-V3,0.27698248493773725,0.6888888888888889,0.08695652173913046,0.0
探讨了氨基寡糖素与化学杀菌剂复配对大白菜霜霉病的防治效果。,1,The control effect of amino-oligosaccharins combined with chemical fungicides on Chinese cabbage downy mildew was investigated.,研究了氨基寡糖素与化学杀菌剂复配对大白菜霜霉病的防治效果。,OpenAI-GPT-4.5,0.9309493362512627,0.9310344827586207,1.0,0.0
探讨了氨基寡糖素与化学杀菌剂复配对大白菜霜霉病的防治效果。,2,The control effect of amino-oligosaccharins combined with chemical fungicides on downy mildew of Chinese cabbage was investigated.,研究了氨基寡糖素与化学杀菌剂复配对大白菜霜霉病的防治效果。,OpenAI-GPT-4.5,0.9309493362512627,0.9310344827586207,1.0,0.0
探讨了氨基寡糖素与化学杀菌剂复配对大白菜霜霉病的防治效果。,3,The control effect of a combination of amino-oligosaccharins and chemical fungicides against Chinese cabbage downy mildew was investigated.,研究了氨基寡糖素与化学杀菌剂组合对大白菜霜霉病的防治效果。,OpenAI-GPT-4.5,0.8251983888449983,0.8620689655172413,1.0,0.0
<正>化学工程领域的涉及面较广，全过程复杂，涉及到的计算环节众多。化学工程领域的计算多与曲线拟合非线性方程，偏微分，线性或非线性规划的求解等有关，这些计算难度极大，仅靠手工，难以实现精准快捷的计算；而配合计算机辅助编程，开展计量计算，能够实践应用化学计算剂量的提质增效，具有极高的应用价值和现实意义。,1,"The field of chemical engineering is broad and complex, involving numerous calculation steps. Calculations in this field often relate to curve fitting of nonlinear equations, partial differential equations, solving linear or nonlinear programming problems, which are extremely challenging. Manual computation alone struggles to achieve precise and quick results. However, with the aid of computer programming, quantitative calculations can be conducted, enhancing the efficiency and effectiveness of chemical dosage calculations, thereby offering significant practical value and real-world significance.",化工领域宽广而复杂，涉及众多计算步骤。这类计算常常涉及非线性方程的曲线拟合、偏微分方程、解决线性或非线性的规划问题，这些都极具挑战性。单靠手工计算难以实现精确且快速的结果。然而，借助计算机编程，可以进行定量计算，提高化工配方计算的效率和效果，从而提供显著的实际价值和现实意义。,Grok-Beta,0.22273070010231505,0.6333333333333333,0.08000000000000002,0.0
"<正>立德树人作为高等院校的立身之本与根本性教育方针,是提升高等教育办学质量、培育堪当民族复兴大任的时代人才的关键落脚点,能为课程思政育人格局的系统性构建提供有力的支撑。新时期,高校化工化学类专业要想更好地服务于社会经济发展大局,为食品、新能源、高分子、新材料等化工相关行业输入源源不断的优秀人才,",1,"<Zheng> Cultivating virtue and fostering individuals is the foundation and fundamental educational guideline for higher education institutions. It is the key focus for improving the quality of higher education and cultivating talents capable of taking on the great task of national rejuvenation, providing strong support for the systematic construction of ideological education patterns in courses. In the new era, if chemical engineering and chemistry majors in colleges and universities want to better serve the overall economic and social development, and continuously supply excellent talents to chemical-related industries such as food, new energy, polymers, and new materials,",<郑> 培育道德与培养个人是高等教育机构的基础和根本教育指导方针。这是提高高等教育质量和培养能够承担民族复兴伟大任务的人才的关键焦点，为课程中意识形态教育模式的系统构建提供强有力的支持。在新时代，如果高校化学工程和化学专业想要更好地服务于整体经济和社会发展，并持续为食品、新能源、聚合物和新材料等化学相关行业提供优秀人才，,Claude-Sonnet-3.7,0.2741460467184158,0.7281553398058253,0.11059647432656192,0.05992996822422367
探讨了氨基寡糖素与化学杀菌剂复配对大白菜霜霉病的防治效果。,1,Explored the control effect of chitosan oligosaccharide combined with chemical fungicides against downy mildew of Chinese cabbage.,探究了壳聚糖寡糖结合化学杀菌剂对白菜霜霉病的防控效果。,Claude-Sonnet-3.7,0.27605985968967695,0.6896551724137931,1.0,0.0
